taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
2705141,Panicum antidotale Retz.,2705141,Panicum antidotale Retz.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Panicum,2705064,Panicum antidotale,2705141,NE
1553721,"Liriomyza cocculi ",1553721,"Liriomyza cocculi ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Agromyzidae,3329,Liriomyza,1553283,Liriomyza cocculi,1553721,NE
1379781,"Neodusmetia sangwani ",1379781,"Neodusmetia sangwani ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Encyrtidae,9440,Neodusmetia,1379780,Neodusmetia sangwani,1379781,NE
2087921,"Pseudoparlatoria ostreata Cockerell, 1892",2087921,"Pseudoparlatoria ostreata Cockerell, 1892",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hemiptera,809,Diaspididae,4521,Pseudoparlatoria,2087912,Pseudoparlatoria ostreata,2087921,NE
2928472,Poranopsis paniculata  Roberty,2928472,Poranopsis paniculata  Roberty,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Solanales,1176,Convolvulaceae,2389,Poranopsis,2928471,Poranopsis paniculata,2928472,NE
4717747,"Lepadoretus Reitter, 1903",4717747,"Lepadoretus Reitter, 1903",1,GENUS,DOUBTFUL,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Scarabaeidae,5840,Lepadoretus,4717747,,,
2388891,"Cephalopholis argus Schneider, 1801",2388891,"Cephalopholis argus Schneider, 1801",1,SPECIES,ACCEPTED,Animalia,1,Chordata,44,,,Perciformes,587,Serranidae,8597,Cephalopholis,2388808,Cephalopholis argus,2388891,LC
5406675,Sterculia foetida L.,5406675,Sterculia foetida L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Malvales,941,Malvaceae,6685,Sterculia,3152129,Sterculia foetida,5406675,NE
5320021,Epidendrum nocturnum Jacq.,5320021,Epidendrum nocturnum Jacq.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Asparagales,1169,Orchidaceae,7689,Epidendrum,5297341,Epidendrum nocturnum,5320021,NE
1594651,"Mycodiplosis fungicola ",1594651,"Mycodiplosis fungicola ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Cecidomyiidae,3338,Mycodiplosis,1594622,Mycodiplosis fungicola,1594651,NE
5859208,"Veronicella cubensis ",5859208,"Veronicella cubensis ",1,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Systellommatophora,1455,Veronicellidae,6526,Veronicella,2293773,Veronicella cubensis,5859208,NE
4990338,"Tribolium castaneum ",4990338,"Tribolium castaneum ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Tenebrionidae,7857,Tribolium,1045823,Tribolium castaneum,4990338,NE
2489005,"Acridotheres tristis ",2489005,"Acridotheres tristis ",1,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Sturnidae,9350,Acridotheres,2489003,Acridotheres tristis,2489005,LC
2942654,Crotalaria verrucosa L.,2942654,Crotalaria verrucosa L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Crotalaria,2941719,Crotalaria verrucosa,2942654,NE
1049526,"Aphanisticus cochinchinae Obenberger, 1924",1049526,"Aphanisticus cochinchinae Obenberger, 1924",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Coleoptera,1470,Buprestidae,3789,Aphanisticus,1049525,Aphanisticus cochinchinae,1049526,NE
5167038,"Tullbergia ruseki Christiansen & Bellinger, 1980",9897257,"Mesaphorura ruseki ",1,SPECIES,SYNONYM,Animalia,1,Arthropoda,54,Collembola,10713444,Poduromorpha,10802062,Tullbergiidae,5842,Mesaphorura,2120523,Mesaphorura ruseki,9897257,NE
9739647,Aglaomorpha rigidula  Hovenkamp & S.Linds.,7126699,Drynaria rigidula  Bedd.,1,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Polypodiopsida,7228684,Polypodiales,392,Polypodiaceae,2368,Drynaria,7126669,Drynaria rigidula,7126699,NE
3132728,Pluchea indica  Less.,3132728,Pluchea indica  Less.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Pluchea,3132596,Pluchea indica,3132728,NE
2050227,"Jadera haematoloma ",2050227,"Jadera haematoloma ",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hemiptera,809,Rhopalidae,4325,Jadera,2050226,Jadera haematoloma,2050227,NE
8812470,"Leucothrips pictus Hood, 1952",8812470,"Leucothrips pictus Hood, 1952",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Thysanoptera,1228,Thripidae,4387,Leucothrips,1420790,Leucothrips pictus,8812470,NE
3172048,Veronica arvensis L.,3172048,Veronica arvensis L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Veronica,3172047,Veronica arvensis,3172048,NE
1640013,"Psychoda salicornia Quate, 1954",1640013,"Psychoda salicornia Quate, 1954",1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Psychodidae,9164,Psychoda,1639725,Psychoda salicornia,1640013,NE
2888995,Rumex acetosella L.,2888995,Rumex acetosella L.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Rumex,2888942,Rumex acetosella,2888995,NE
3172371,Fraxinus uhdei  Lingelsh.,3172371,Fraxinus uhdei  Lingelsh.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Oleaceae,6652,Fraxinus,3172323,Fraxinus uhdei,3172371,LC
2709087,Fimbristylis littoralis Gaudich.,2709087,Fimbristylis littoralis Gaudich.,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Fimbristylis,2708034,Fimbristylis littoralis,2709087,LC
3167005,Triodanis perfoliata subsp. biflora  Lammers,3167005,Triodanis perfoliata subsp. biflora  Lammers,1,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Campanulaceae,8801,Triodanis,7780626,Triodanis perfoliata,3167003,
10180483,Ganaspis xanthopoda,10180483,Ganaspis xanthopoda,1,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Figitidae,6990,Ganaspis,4406639,Ganaspis xanthopoda,10180483,NE
